CaseID	Sample Order	Partition	Precision	Expert Advice	System Advice	Details
P87	86	Other	1.000	['D']	['D', 'G', 'H', 'C', 'F', 'A', 'B']	[('D', 0.09781538762330264), ('G', 0.08972287322552847), ('H', 0.08037181009312494), ('C', 0.02866213865484435), ('F', 0.02611250022858129), ('A', 0.008586026899491339), ('B', 0.002259774903762687), ('E', 0.0)]
P59	58	Other	0.143	['F']	['E', 'H', 'G', 'D', 'B', 'C', 'F', 'A']	[('E', 0.24962755654097346), ('H', 0.21118420762924425), ('G', 0.19799624016706124), ('D', 0.1894096740248556), ('B', 0.1642009839878593), ('C', 0.15893422185497846), ('F', 0.07916105076811884), ('A', 0.03647264096118796)]
P8	7	Other	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A', 'D', 'F']	[('E', 0.13731983172963344), ('B', 0.09794850397109518), ('C', 0.08696064996906945), ('H', 0.08006693956234043), ('G', 0.06018661312592739), ('A', 0.014095411373889406), ('D', 0.0035096366019805834), ('F', 0.0003854569647007682)]
P80	79	Other	1.000	['G']	['G', 'H', 'D', 'C', 'B', 'E', 'F', 'A']	[('G', 0.1093023201560082), ('H', 0.10883330703123184), ('D', 0.09946517789769316), ('C', 0.07253135788477146), ('B', 0.06555929176854758), ('E', 0.04755231437152538), ('F', 0.02101216696935537), ('A', 0.02086418845940961)]
P36	35	Other	0.250	['A']	['G', 'D', 'C', 'A']	[('G', 0.005937321374304907), ('D', 0.004533057118345752), ('C', 0.001270940844255363), ('A', 2.0984369268798068e-07), ('B', 0.0), ('E', 0.0), ('F', 0.0), ('H', 0.0)]
P99	98	Other	1.000	['B']	['B', 'A', 'D', 'C', 'G', 'H', 'E']	[('B', 0.024362669572216056), ('A', 0.022590284542523445), ('D', 0.01807154916409796), ('C', 0.013642464707799645), ('G', 0.009955543274503426), ('H', 0.0024924840161840087), ('E', 0.0012415030383169847), ('F', 0.0)]
P84	83	Other	1.000	['B']	['B', 'C', 'H', 'A', 'G', 'E']	[('B', 0.05161815438474424), ('C', 0.04084377446775108), ('H', 0.027898912798660767), ('A', 0.019059795950753106), ('G', 0.014474356971927296), ('E', 0.008483640053326247), ('D', 0.0), ('F', 0.0)]
P65	64	Other	1.000	['C']	['C', 'H', 'G', 'B', 'A', 'E']	[('C', 0.039720218283948804), ('H', 0.023307881269493066), ('G', 0.009481876506551658), ('B', 0.008911126408020751), ('A', 0.00275785987426374), ('E', 0.001183928515582245), ('D', 0.0), ('F', 0.0)]
P69	68	Other	1.000	['B']	['B', 'C', 'H', 'G', 'A', 'E', 'D']	[('B', 0.05837534725635668), ('C', 0.05367575879555285), ('H', 0.04154270668498155), ('G', 0.026108150504340566), ('A', 0.022986346057282427), ('E', 0.022782306201799437), ('D', 0.0005208367971389952), ('F', 0.0)]
P34	33	Other	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A', 'D']	[('E', 0.25036415875542606), ('B', 0.20229519928069062), ('C', 0.09551483950842628), ('H', 0.08855495287762581), ('G', 0.057443824023014955), ('A', 0.03892401811430814), ('D', 0.02605708491415506), ('F', 0.0)]
P52	51	Other	1.000	['B']	['B', 'E', 'A', 'C', 'D', 'H', 'G']	[('B', 0.11684867013411737), ('E', 0.07720732310309941), ('A', 0.034737221971129495), ('C', 0.03376028380051819), ('D', 0.028733809777558773), ('H', 0.02089460083759612), ('G', 0.010789987747713281), ('F', 0.0)]
P19	18	Other	1.000	['D']	['D', 'G', 'H', 'C', 'F', 'A', 'B']	[('D', 0.061683381540698745), ('G', 0.05889234204092584), ('H', 0.04692153924180005), ('C', 0.017161918712568915), ('F', 0.010130448969724953), ('A', 0.007561742146034332), ('B', 0.006954824650932175), ('E', 0.0)]
P72	71	Other	1.000	['D']	['D', 'G', 'H', 'C', 'B', 'A', 'F']	[('D', 0.06739832050683517), ('G', 0.06442055336552019), ('H', 0.055234123086604116), ('C', 0.024693382743413667), ('B', 0.01251322663856878), ('A', 0.011933370628994248), ('F', 0.010730155534047867), ('E', 0.0)]
P56	55	Other	1.000	['C']	['C', 'A', 'H', 'B', 'G']	[('C', 0.020960196049380292), ('A', 0.00952616604702471), ('H', 0.006840929364200785), ('B', 0.0013255718516229787), ('G', 8.274600628599207e-06), ('D', 0.0), ('E', 0.0), ('F', 0.0)]
P97	96	Other	0.200	['G']	['E', 'B', 'D', 'H', 'G', 'C', 'A', 'F']	[('E', 0.24550797225060217), ('B', 0.221739831985195), ('D', 0.17754233448786605), ('H', 0.12863618451717648), ('G', 0.12324532546548236), ('C', 0.11359387885786942), ('A', 0.06963401867491009), ('F', 0.021389704591583916)]
