CaseID	Sample Order	Partition	Precision	Expert Advice	System Advice	Details
P85	84	Other	1.000	['E']	['E', 'C', 'A', 'B', 'D']	[('E', 0.2842448385933829), ('C', 0.2275735301973374), ('A', 0.20267624924498157), ('B', 0.14508684214634185), ('D', 0.12953192618440218)]
P89	88	Other	1.000	['B']	['B', 'A']	[('B', 0.0034971285761027787), ('A', 1.8057850820388786e-05), ('C', 0.0), ('D', 0.0), ('E', 0.0)]
P12	11	Other	0.333	['C']	['B', 'A', 'C', 'E', 'D']	[('B', 0.08905370189842968), ('A', 0.08723812615671328), ('C', 0.05869972702218901), ('E', 0.041747879182485924), ('D', 0.01552922353085006)]
P100	99	Other	1.000	['A']	['A', 'C', 'B', 'E', 'D']	[('A', 0.14426485516654042), ('C', 0.10254718088405361), ('B', 0.09729891690707546), ('E', 0.09196318198067796), ('D', 0.04408022541555374)]
P80	79	Other	1.000	['C']	['C', 'E', 'A', 'B', 'D']	[('C', 0.13349800769032302), ('E', 0.12318891292459766), ('A', 0.08629782763009458), ('B', 0.08339955944634495), ('D', 0.05667621367215125)]
P83	82	Other	1.000	['C']	['C', 'E', 'D', 'B', 'A']	[('C', 0.12502832877908243), ('E', 0.1012059689612006), ('D', 0.07883315072844393), ('B', 0.0260251878211153), ('A', 0.006125405498072875)]
P92	91	Other	1.000	['C']	['C', 'E', 'B', 'D', 'A']	[('C', 0.11435863152103751), ('E', 0.09536962021447146), ('B', 0.04515508825755815), ('D', 0.03443964180789738), ('A', 0.011912666775368766)]
P39	38	Other	1.000	['C']	['C', 'E', 'B', 'A', 'D']	[('C', 0.08335256022538184), ('E', 0.05988797778860442), ('B', 0.05208939096356338), ('A', 0.035213273316256066), ('D', 0.024997924435942495)]
P32	31	Other	1.000	['D']	['D', 'B']	[('D', 0.002918396270041181), ('B', 0.0010187608276978352), ('A', 0.0), ('C', 0.0), ('E', 0.0)]
P79	78	Other	0.500	['B']	['A', 'B', 'E', 'C']	[('A', 0.11317554077446029), ('B', 0.08448198463957513), ('E', 0.033171040731069704), ('C', 0.03018755741221293), ('D', 0.0)]
